PNU,JIBUN,BCHK,SGG_OID,COL_ADM_SE,F_SHIM,F_AREA,ADM_CD,F_YR,F_ZONE_NM,F_ZONE_NM2,TYPE,F_DISA_NM,F_AVR_HGT,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,INV_YR,layer,path,geometry
"1174010800101740042","174-42대","1","115082","11740","0.01","51.66","1174010800","2024","강동구 성내동 174-42","강동구 천호대로168길 34-5","주택","7. 8.~7. 19. 호우","17.60833717","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211627.26248544702,548319.3168771493],[211625.6235821254,548314.1738923616],[211624.6316406439,548311.0609015685],[211625.33763885932,548310.8199149853],[211624.71567487216,548308.909920416],[211610.76069184046,548314.8016460483],[211612.13963231162,548317.7846441771],[211614.8355073441,548324.1456362186],[211627.26248544702,548319.3168771493]]]}"
"1174010800101500020","150-20대","1","114760","11740","0.01","82.87","1174010800","2024","강동구 성내동 150-20","강동구 천호대로168가길 47-15","주택","7. 8.~7. 19. 호우","20.67658401","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211437.33148686396,548413.6650277714],[211445.36648370445,548409.8641890713],[211437.718798383,548394.2741917263],[211434.96683733177,548393.2421554601],[211432.32181369897,548396.0140899976],[211431.20271456725,548402.6800176348],[211437.33148686396,548413.6650277714]]]}"
"1174010800101750029","175-29대","1","112869","11740","0.01","40.94","1174010800","2024","강동구 성내동 175-29","강동구 천호대로168길 30-16","주택","7. 8.~7. 19. 호우","18.05887772","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211650.07242889507,548373.0858102385],[211650.31741914398,548373.5648103212],[211655.1414204554,548371.0859087643],[211660.37542189768,548368.3950155856],[211655.06861163618,548359.3410030584],[211645.5336041314,548364.5438060146],[211648.09350427022,548369.4248078807],[211648.17950425643,548369.3828096195],[211650.07242889507,548373.0858102385]]]}"
"1174010800103860033","386-33대","1","113167","11740","0.01","94.06","1174010800","2024","강동구 성내동 386-33","강동구 양재대로101길 51-25","주택","7. 8.~7. 19. 호우","17.3426931","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211894.16404854367,548090.3400697745],[211896.90300682205,548091.5501043926],[211907.44198760824,548087.4973083707],[211902.6032304023,548074.9403318699],[211890.093253221,548079.7500897556],[211894.16404854367,548090.3400697745]]]}"
"1174010800101750011","175-11대","1","113505","11740","0.01","429.99","1174010800","2024","강동구 성내동 175-11","강동구 천호대로168길 30-19","주택","7. 8.~7. 19. 호우","18.05887772","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211621.52275724,548367.0453959964],[211630.27075377983,548362.9095715935],[211624.65097119554,548352.3055665925],[211618.31100261412,548353.5214538152],[211615.11399692338,548355.461386162],[211621.52275724,548367.0453959964]]]}"
"1174010800102880022","288-22대","1","114212","11740","0.01","66.29","1174010800","2024","강동구 성내동 288-22","강동구 천호옛8길 33-4","주택","7. 8.~7. 19. 호우","16.67793823","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211089.19737455968,548162.2804230413],[211083.95057825805,548152.3334188024],[211073.94956841267,548157.9152111621],[211079.260361749,548168.0132152097],[211089.19737455968,548162.2804230413]]]}"
"1174010800101650007","165-7대","1","114479","11740","0.01","62.72","1174010800","2024","강동구 성내동 165-7","강동구 천호대로168가길 18-6","주택","7. 8.~7. 19. 호우","20.39358688","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211617.20306678757,548473.3624615337],[211619.55007928525,548471.4255153771],[211624.03809959572,548467.9426165303],[211624.18824760127,548458.7476937245],[211623.0673658762,548452.016730258],[211610.73838922806,548456.7074920253],[211611.7093408392,548459.2064874637],[211617.20306678757,548473.3624615337]]]}"
"1174010800100870008","87-8대","1","109455","11740","0.01","64.44","1174010800","2024","강동구 성내동 87-8","강동구 올림픽로60길 5-5","주택","7. 8.~7. 19. 호우","16.46311356","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[210852.94740928407,548462.621147412],[210858.30738698517,548461.3282448882],[210865.98835508234,548459.4723846003],[210864.2804782723,548452.7284117542],[210862.61448396693,548453.2063808371],[210862.02752995596,548450.6633920041],[210850.4155817236,548453.2511825635],[210852.94740928407,548462.621147412]]]}"
"1174010900102170046","217-46대","1","121411","11740","0.01","44.76","1174010900","2024","강동구 천호동 217-46","강동구 천중로27길 3-7","주택","7. 8.~7. 19. 호우","30.43144012","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211898.75611936837,549377.4216794246],[211899.20133478413,549363.9327963963],[211886.82833926607,549369.8095476733],[211886.49022066448,549377.2824813832],[211898.75611936837,549377.4216794246]]]}"
"1174010900102070013","207-13대","1","123129","11740","0.01","67.84","1174010900","2024","강동구 천호동 207-13","강동구 성안로31다길 20","주택","7. 8.~7. 19. 호우","24.73027397","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211855.82622461033,549145.9118657121],[211858.60318266298,549147.1149010167],[211861.0992572082,549141.2819889884],[211862.06428065192,549139.3580203094],[211850.0364735464,549133.4568730238],[211846.2103804518,549141.0937487825],[211855.82622461033,549145.9118657121]]]}"
